All,All_activation,100,100_activation
layer_26_neuron_2063,60333.0,layer_21_neuron_2069,5914.098972923996
layer_27_neuron_640,60303.07421875,layer_27_neuron_2039,5913.279778320507
layer_27_neuron_1422,60290.01171875,layer_27_neuron_3545,5910.449376130999
layer_27_neuron_761,60282.83984375,layer_22_neuron_330,5908.199911490604
layer_26_neuron_362,60279.24609375,layer_24_neuron_650,5908.006629113007
layer_24_neuron_376,60204.71875,layer_16_neuron_2604,5904.943823324818
layer_24_neuron_1621,60203.703125,layer_25_neuron_1993,5902.742036438997
layer_26_neuron_289,60180.8125,layer_26_neuron_2063,5901.3543016090025
layer_26_neuron_3579,60157.57421875,layer_25_neuron_1445,5898.616170549996
layer_14_neuron_143,60128.8515625,layer_28_neuron_3248,5898.415298253995
layer_27_neuron_1599,60116.609375,layer_23_neuron_662,5898.120289123001
layer_25_neuron_184,60074.671875,layer_27_neuron_2277,5897.591996008284
layer_20_neuron_2107,60055.34765625,layer_25_neuron_1562,5896.300611454497
layer_27_neuron_634,60002.0859375,layer_27_neuron_2599,5894.780611332735
layer_26_neuron_1823,59986.7265625,layer_24_neuron_1208,5892.178223746008
layer_27_neuron_3352,59979.234375,layer_27_neuron_583,5891.113665641204
layer_27_neuron_851,59972.89453125,layer_23_neuron_2427,5885.156797186989
layer_23_neuron_1660,59966.5703125,layer_26_neuron_1717,5883.678850247403
layer_25_neuron_2406,59946.546875,layer_21_neuron_2078,5881.244423397
layer_19_neuron_3507,59922.07421875,layer_28_neuron_3276,5880.7354017719945
layer_20_neuron_2236,59879.0390625,layer_26_neuron_1890,5879.082053176502
layer_24_neuron_3433,59845.1171875,layer_21_neuron_3433,5874.493952896689
layer_24_neuron_2545,59833.72265625,layer_26_neuron_1993,5872.12861924489
layer_25_neuron_637,59829.1796875,layer_27_neuron_540,5865.834821558
layer_28_neuron_3360,59823.296875,layer_26_neuron_1208,5864.159312290003
layer_27_neuron_1381,59811.578125,layer_26_neuron_1013,5862.085436195704
layer_27_neuron_2997,59771.8046875,layer_24_neuron_180,5860.267518526
layer_25_neuron_1562,59747.1171875,layer_22_neuron_822,5859.960277048295
layer_25_neuron_1823,59734.203125,layer_28_neuron_1617,5858.270275996988
layer_28_neuron_1427,59724.78515625,layer_27_neuron_3577,5853.686169906002
layer_27_neuron_2832,59713.6875,layer_10_neuron_608,5852.029651636009
layer_23_neuron_206,59687.49609375,layer_26_neuron_1560,5850.297260716002
layer_24_neuron_362,59681.58203125,layer_26_neuron_1064,5845.152581648798
layer_26_neuron_3577,59676.3203125,layer_27_neuron_2445,5845.100627850994
layer_20_neuron_2631,59661.13671875,layer_26_neuron_1123,5844.7966285480015
layer_24_neuron_1422,59657.8046875,layer_28_neuron_2477,5843.478741254001
layer_26_neuron_1627,59648.8125,layer_24_neuron_1424,5840.995214237605
layer_25_neuron_1009,59647.00390625,layer_24_neuron_1562,5838.608975673003
layer_27_neuron_1013,59599.60546875,layer_24_neuron_184,5835.704909093405
layer_21_neuron_1220,59584.19921875,layer_27_neuron_3407,5830.424770759903
layer_27_neuron_1909,59503.4375,layer_24_neuron_1650,5828.822992093987
layer_27_neuron_2545,59487.671875,layer_23_neuron_540,5827.84795024998
layer_24_neuron_1925,59470.71875,layer_24_neuron_2477,5824.665643259999
layer_25_neuron_2063,59460.265625,layer_28_neuron_1041,5824.217003675001
layer_25_neuron_3482,59449.76171875,layer_22_neuron_2631,5822.893037526006
layer_26_neuron_1013,59432.9375,layer_22_neuron_1092,5815.089479500495
layer_26_neuron_376,59405.19140625,layer_25_neuron_650,5812.857739509997
layer_28_neuron_637,59396.1171875,layer_23_neuron_622,5806.918381804999
layer_27_neuron_3270,59351.25390625,layer_27_neuron_650,5799.161122153009
layer_27_neuron_389,59325.17578125,layer_23_neuron_1759,5795.77179432952
layer_23_neuron_2737,59299.26953125,layer_20_neuron_3461,5795.107100253988
layer_25_neuron_998,59294.8203125,layer_17_neuron_1461,5795.041998162494
layer_22_neuron_1926,59293.2421875,layer_28_neuron_2988,5792.475272633999
layer_17_neuron_2604,59281.14453125,layer_26_neuron_1422,5790.301923650994
layer_25_neuron_1759,59262.5546875,layer_25_neuron_1422,5787.553438056224
layer_26_neuron_39,59248.93359375,layer_18_neuron_143,5786.25221483999
layer_24_neuron_727,59248.3515625,layer_15_neuron_2178,5782.153752496999
layer_27_neuron_2948,59228.328125,layer_23_neuron_2010,5782.107993524312
layer_27_neuron_1068,59220.875,layer_27_neuron_1370,5772.653553837814
layer_25_neuron_1628,59217.6328125,layer_16_neuron_1461,5770.060153434402
layer_20_neuron_20,59207.359375,layer_27_neuron_1422,5766.171593459087
layer_24_neuron_1660,59177.12890625,layer_25_neuron_1890,5765.455186581
layer_8_neuron_3281,59137.00390625,layer_26_neuron_1562,5764.114623320997
layer_27_neuron_2033,59122.7265625,layer_27_neuron_622,5757.658575473004
layer_27_neuron_1473,59087.2265625,layer_27_neuron_637,5754.040795520611
layer_23_neuron_3133,59085.03515625,layer_24_neuron_541,5753.579663857997
layer_25_neuron_624,59072.76171875,layer_27_neuron_1806,5751.420044223016
layer_25_neuron_2445,59055.55078125,layer_26_neuron_3498,5749.137145153701
layer_25_neuron_180,59054.0703125,layer_24_neuron_3297,5747.631942180405
layer_25_neuron_882,59047.55859375,layer_27_neuron_2887,5745.871447176004
layer_25_neuron_2010,59034.5,layer_23_neuron_1266,5744.342113842405
layer_27_neuron_2542,59019.11328125,layer_22_neuron_1940,5739.7232098130025
layer_27_neuron_3577,59003.0546875,layer_24_neuron_662,5739.555658788011
layer_26_neuron_295,58997.6953125,layer_25_neuron_2358,5737.238852978002
layer_26_neuron_184,58994.6328125,layer_26_neuron_547,5736.190157334002
layer_26_neuron_2545,58969.81640625,layer_23_neuron_39,5735.578122148271
layer_21_neuron_2988,58959.703125,layer_24_neuron_1560,5734.112840591996
layer_25_neuron_2235,58925.96875,layer_27_neuron_1752,5732.648517037011
layer_24_neuron_2445,58890.7109375,layer_27_neuron_852,5732.414172889899
layer_27_neuron_763,58865.24609375,layer_23_neuron_541,5731.507987888007
layer_25_neuron_3216,58864.8515625,layer_28_neuron_3216,5730.8151091064965
layer_24_neuron_547,58853.94921875,layer_23_neuron_1707,5729.580810997507
layer_27_neuron_3302,58823.97265625,layer_27_neuron_3394,5728.573788425503
layer_26_neuron_2202,58815.78515625,layer_4_neuron_1692,5728.474370499996
layer_24_neuron_134,58808.51171875,layer_22_neuron_2427,5728.259701827514
layer_20_neuron_2178,58807.01171875,layer_20_neuron_1985,5727.203619295792
layer_25_neuron_314,58800.6875,layer_24_neuron_1445,5724.663852949995
layer_27_neuron_1707,58776.51171875,layer_23_neuron_2117,5719.805037076995
layer_23_neuron_2542,58751.48046875,layer_26_neuron_2887,5719.524824771501
layer_20_neuron_1790,58731.2890625,layer_27_neuron_2444,5714.752452333985
layer_26_neuron_1759,58725.80078125,layer_24_neuron_1628,5711.519470350592
layer_25_neuron_1110,58713.390625,layer_27_neuron_2279,5711.31608753431
layer_27_neuron_573,58662.65234375,layer_24_neuron_613,5709.180369368002
layer_25_neuron_2655,58655.3125,layer_22_neuron_1220,5706.143922007008
layer_22_neuron_1650,58649.7421875,layer_9_neuron_392,5701.850976899983
layer_26_neuron_1562,58585.203125,layer_25_neuron_727,5699.710311908502
layer_6_neuron_1923,58583.6171875,layer_27_neuron_481,5699.445475841505
layer_26_neuron_1103,58564.76953125,layer_20_neuron_2953,5692.293878386003
layer_26_neuron_1642,58550.17578125,layer_23_neuron_184,5691.4495028950005
layer_27_neuron_2560,58548.046875,layer_19_neuron_37,5690.445420618795
layer_27_neuron_3253,58542.32421875,layer_9_neuron_608,5690.122102022021
