row_type,group_name,ablation_mode,ablation_n,seed,haofang_precision,haofang_recall,haofang_f1,wanyue_precision,wanyue_recall,wanyue_f1,macro_f1,accuracy,TP,TN,FP,FN,unknown_cnt,n,seconds,haofang_precision_mean,haofang_precision_sd,haofang_precision_ci95_low,haofang_precision_ci95_high,haofang_precision_groups_n,haofang_recall_mean,haofang_recall_sd,haofang_recall_ci95_low,haofang_recall_ci95_high,haofang_recall_groups_n,haofang_f1_mean,haofang_f1_sd,haofang_f1_ci95_low,haofang_f1_ci95_high,haofang_f1_groups_n,wanyue_precision_mean,wanyue_precision_sd,wanyue_precision_ci95_low,wanyue_precision_ci95_high,wanyue_precision_groups_n,wanyue_recall_mean,wanyue_recall_sd,wanyue_recall_ci95_low,wanyue_recall_ci95_high,wanyue_recall_groups_n,wanyue_f1_mean,wanyue_f1_sd,wanyue_f1_ci95_low,wanyue_f1_ci95_high,wanyue_f1_groups_n,macro_f1_mean,macro_f1_sd,macro_f1_ci95_low,macro_f1_ci95_high,macro_f1_groups_n,accuracy_mean,accuracy_sd,accuracy_ci95_low,accuracy_ci95_high,accuracy_groups_n,comparison,metric,t_stat,p_value,pairs_n
detail,group2,random,250,20260472.0,0.8905109489051095,0.8840579710144928,0.8872727272727274,0.9030303030303031,0.9085365853658537,0.9057750759878421,0.8965239016302848,0.8973509933774835,122.0,149.0,15.0,16.0,0.0,302.0,34.143194913864136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
detail,group2,sequential_haofang_csv,300,,0.8166666666666667,0.35507246376811596,0.494949494949495,0.8035714285714286,0.27439024390243905,0.4090909090909091,0.45202020202020204,0.6688741721854304,49.0,153.0,11.0,89.0,186.0,302.0,80.40309238433838,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
detail,group2,random,300,20260522.0,0.875,0.9130434782608695,0.8936170212765957,0.9240506329113924,0.8902439024390244,0.9068322981366461,0.9002246597066209,0.9006622516556292,126.0,146.0,18.0,12.0,0.0,302.0,33.9313108921051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
detail,group2,sequential_haofang_csv,350,,0.9111111111111111,0.2971014492753623,0.44808743169398907,0.8,0.21951219512195122,0.3444976076555024,0.39629251967474577,0.6655629139072847,41.0,160.0,4.0,97.0,212.0,302.0,78.6204571723938,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
detail,group2,random,350,20260572.0,0.8802816901408451,0.9057971014492754,0.892857142857143,0.91875,0.8963414634146342,0.9074074074074074,0.9001322751322752,0.9006622516556292,125.0,147.0,17.0,13.0,0.0,302.0,33.44485545158386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
detail,group3,sequential_haofang_csv,0,,0.8879310344827587,0.824,0.8547717842323651,0.8817204301075269,0.9265536723163842,0.9035812672176308,0.8791765257249979,0.8841059602649006,103.0,164.0,13.0,22.0,0.0,302.0,20.28404927253723,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
detail,group3,random,0,20260223.0,0.8879310344827587,0.824,0.8547717842323651,0.8817204301075269,0.9265536723163842,0.9035812672176308,0.8791765257249979,0.8841059602649006,103.0,164.0,13.0,22.0,0.0,302.0,20.33541202545166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
detail,group3,sequential_haofang_csv,200,,0.9375,0.48,0.6349206349206349,0.837037037037037,0.6384180790960452,0.7243589743589745,0.6796398046398047,0.7715231788079471,60.0,173.0,4.0,65.0,103.0,302.0,75.56483674049377,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
detail,group3,random,200,20260423.0,0.8728813559322034,0.824,0.8477366255144032,0.8804347826086957,0.9152542372881356,0.8975069252077563,0.8726217753610798,0.8774834437086093,103.0,162.0,15.0,22.0,0.0,302.0,34.00794434547424,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
detail,group3,sequential_haofang_csv,250,,0.9019607843137255,0.368,0.5227272727272727,0.8181818181818182,0.3559322033898305,0.49606299212598426,0.5093951324266285,0.7218543046357616,46.0,172.0,5.0,79.0,174.0,302.0,77.73451685905457,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
