ablation_num,group,n,mean,sd,metric,se,t_crit,ci_low,ci_high
200,haofang,15,0.7716312056737589,0.015211071340090266,hf_recall,0.003927481731876169,2.1447866879169273,0.7632075951381939,0.7800548162093238
200,none,15,0.8335697399527189,0.007024329091290967,hf_recall,0.0018136739725900129,2.1447866879169273,0.8296797961600864,0.8374596837453514
200,random,15,0.8222222222222222,0.007799883180734659,hf_recall,0.0020139211774232446,2.1447866879169273,0.8179027908903709,0.8265416535540735
200,wanyue,15,0.7943262411347517,0.008890541425929151,hf_recall,0.0022955279254260495,2.1447866879169273,0.7894028233985564,0.799249658870947
250,haofang,15,0.6780141843971631,0.02482993091814943,hf_recall,0.006411060595564892,2.1447866879169273,0.6642638269763668,0.6917645418179594
250,none,15,0.8335697399527189,0.007024329091290967,hf_recall,0.0018136739725900129,2.1447866879169273,0.8296797961600864,0.8374596837453514
250,random,15,0.8052009456264776,0.014402244716539241,hf_recall,0.0037186435956773492,2.1447866879169273,0.7972252483453612,0.813176642907594
250,wanyue,15,0.6539007092198581,0.01567634888538312,hf_recall,0.004047615877495069,2.1447866879169273,0.6452194365680055,0.6625819818717107
300,haofang,15,0.550354609929078,0.025543169870973756,hf_recall,0.00659521810130856,2.1447866879169273,0.5362092739414827,0.5644999459166734
300,none,15,0.8335697399527189,0.007024329091290967,hf_recall,0.0018136739725900129,2.1447866879169273,0.8296797961600864,0.8374596837453514
300,random,15,0.8245862884160756,0.009836983038028211,hf_recall,0.00253989809888054,2.1447866879169273,0.8191387487849311,0.8300338280472201
300,wanyue,15,0.5380614657210402,0.01873864678957559,hf_recall,0.004838297796432622,2.1447866879169273,0.5276843490150737,0.5484385824270067
350,haofang,15,0.383451536643026,0.018075004959818803,hf_recall,0.004666946212799645,2.1447866879169273,0.373441932532589,0.393461140753463
350,none,15,0.8335697399527189,0.007024329091290967,hf_recall,0.0018136739725900129,2.1447866879169273,0.8296797961600864,0.8374596837453514
350,random,15,0.8278959810874704,0.008247653555077167,hf_recall,0.002129534990940151,2.1447866879169273,0.8233285827874487,0.8324633793874922
350,wanyue,15,0.39338061465721036,0.03170216921392262,hf_recall,0.008185464893611452,2.1447866879169273,0.3758245385189812,0.41093669079543954
200,haofang,15,0.934575569358178,0.005178940297098079,wy_recall,0.0013371966347775566,2.1447866879169273,0.9317075678167798,0.9374435708995762
200,none,15,0.9383022774327119,0.00496154432744088,wy_recall,0.0012810652367765604,2.1447866879169273,0.9355546657665204,0.9410498890989034
200,random,15,0.9370600414078675,0.005178940297098107,wy_recall,0.001337196634777564,2.1447866879169273,0.9341920398664693,0.9399280429492657
200,wanyue,15,0.9407867494824017,0.0032074396241883662,wy_recall,0.0008281573498964878,2.1447866879169273,0.9390105286228432,0.9425629703419602
250,haofang,15,0.8844720496894409,0.006556505129338498,wy_recall,0.0016928823450167673,2.1447866879169273,0.8808411781716394,0.8881029212072424
250,none,15,0.9383022774327119,0.00496154432744088,wy_recall,0.0012810652367765604,2.1447866879169273,0.9355546657665204,0.9410498890989034
250,random,15,0.9403726708074535,0.004576325451012461,wy_recall,0.0011816021505730938,2.1447866879169273,0.9378383862444902,0.9429069553704167
250,wanyue,15,0.8737060041407868,0.011659510999365314,wy_recall,0.003010472795030937,2.1447866879169273,0.8672491821656684,0.8801628261159052
300,haofang,15,0.8331262939958592,0.01482279377440899,wy_recall,0.003827228895503533,2.1447866879169273,0.8249177044091722,0.8413348835825463
300,none,15,0.9383022774327119,0.00496154432744088,wy_recall,0.0012810652367765604,2.1447866879169273,0.9355546657665204,0.9410498890989034
300,random,15,0.9370600414078675,0.0032074396241883575,wy_recall,0.0008281573498964856,2.1447866879169273,0.9352838205483089,0.938836262267426
300,wanyue,15,0.6853002070393374,0.019023813937753348,wy_recall,0.0049119276374844836,2.1447866879169273,0.6747651700304494,0.6958352440482253
350,haofang,15,0.7167701863354038,0.020706891240998608,wy_recall,0.0053464963285410555,2.1447866879169273,0.7053030921829522,0.7282372804878554
350,none,15,0.9383022774327119,0.00496154432744088,wy_recall,0.0012810652367765604,2.1447866879169273,0.9355546657665204,0.9410498890989034
350,random,15,0.9354037267080745,0.005143345783918192,wy_recall,0.0013280061709934194,2.1447866879169273,0.9325554367510562,0.9382520166650927
350,wanyue,15,0.6053830227743272,0.009351213077131455,wy_recall,0.0024144728343044757,2.1447866879169273,0.6002044935809739,0.6105615519676805
