metric,ablation_num,comparison,n_a,n_b,mean_a,mean_b,diff_mean,cohens_d,t_stat,p_value
hf_recall,200,haofang vs none(no_ablation),15,15,0.7716312056737588,0.8335697399527189,-0.06193853427896012,-5.228063765819701,t(20)=-14.32,0.0
hf_recall,200,haofang vs random,15,15,0.7716312056737588,0.8222222222222222,-0.05059101654846343,-4.185402684141073,t(21)=-11.46,0.0
hf_recall,200,random vs none(no_ablation),15,15,0.8222222222222222,0.8335697399527189,-0.011347517730496692,-1.5288529374494848,t(28)=-4.19,0.0
hf_recall,200,targeted_combined(haofang+wanyue) vs none(no_ablation),30,15,0.7829787234042553,0.8335697399527189,-0.05059101654846354,-3.516591456723286,t(42)=-14.18,0.0
hf_recall,200,targeted_combined(haofang+wanyue) vs random,30,15,0.7829787234042553,0.8222222222222222,-0.03924349881796685,-2.703485336234891,t(43)=-10.68,0.0
hf_recall,200,wanyue vs haofang,15,15,0.7943262411347516,0.7716312056737588,0.02269503546099283,1.8216801361705883,t(23)=4.99,0.0
hf_recall,200,wanyue vs none(no_ablation),15,15,0.7943262411347516,0.8335697399527189,-0.03924349881796729,-4.898116197943628,t(27)=-13.41,0.0
hf_recall,200,wanyue vs random,15,15,0.7943262411347516,0.8222222222222222,-0.0278959810874706,-3.335638472356526,t(28)=-9.14,0.0
hf_recall,250,haofang vs none(no_ablation),15,15,0.6780141843971631,0.8335697399527189,-0.15555555555555578,-8.525245342714626,t(16)=-23.35,0.0
hf_recall,250,haofang vs random,15,15,0.6780141843971631,0.8052009456264773,-0.12718676122931416,-6.266231635897972,t(22)=-17.16,0.0
hf_recall,250,random vs none(no_ablation),15,15,0.8052009456264773,0.8335697399527189,-0.02836879432624162,-2.503728562847447,t(20)=-6.86,0.0
hf_recall,250,targeted_combined(haofang+wanyue) vs none(no_ablation),30,15,0.6659574468085108,0.8335697399527189,-0.1676122931442081,-8.399301475885336,t(38)=-35.59,0.0
hf_recall,250,targeted_combined(haofang+wanyue) vs random,30,15,0.6659574468085108,0.8052009456264773,-0.1392434988179665,-6.566255070908579,t(41)=-24.34,0.0
hf_recall,250,wanyue vs haofang,15,15,0.6539007092198581,0.6780141843971631,-0.024113475177305,-1.1613210868087567,t(24)=-3.18,0.0
hf_recall,250,wanyue vs none(no_ablation),15,15,0.6539007092198581,0.8335697399527189,-0.17966903073286078,-14.791479939068973,t(19)=-40.51,0.0
hf_recall,250,wanyue vs random,15,15,0.6539007092198581,0.8052009456264773,-0.15130023640661916,-10.051313028009483,t(28)=-27.53,0.0
hf_recall,300,haofang vs none(no_ablation),15,15,0.550354609929078,0.8335697399527189,-0.28321513002364085,-15.119115972976827,t(16)=-41.41,0.0
hf_recall,300,haofang vs random,15,15,0.550354609929078,0.8245862884160755,-0.2742316784869975,-14.168634836452282,t(18)=-38.80,0.0
hf_recall,300,random vs none(no_ablation),15,15,0.8245862884160755,0.8335697399527189,-0.008983451536643372,-1.0510468369925265,t(25)=-2.88,0.01
hf_recall,300,targeted_combined(haofang+wanyue) vs none(no_ablation),30,15,0.5442080378250591,0.8335697399527189,-0.28936170212765977,-15.060031963367228,t(38)=-63.54,0.0
hf_recall,300,targeted_combined(haofang+wanyue) vs random,30,15,0.5442080378250591,0.8245862884160755,-0.2803782505910164,-14.296566794656833,t(42)=-57.35,0.0
hf_recall,300,wanyue vs haofang,15,15,0.5380614657210402,0.550354609929078,-0.012293144208037843,-0.5487818288031256,t(26)=-1.50,0.15
hf_recall,300,wanyue vs none(no_ablation),15,15,0.5380614657210402,0.8335697399527189,-0.2955082742316787,-20.88311436806609,t(18)=-57.19,0.0
hf_recall,300,wanyue vs random,15,15,0.5380614657210402,0.8245862884160755,-0.2865248226950353,-19.146315321082806,t(21)=-52.43,0.0
hf_recall,350,haofang vs none(no_ablation),15,15,0.383451536643026,0.8335697399527189,-0.4501182033096929,-32.82619222459454,t(18)=-89.90,0.0
hf_recall,350,haofang vs random,15,15,0.383451536643026,0.8278959810874705,-0.44444444444444453,-31.636077885038482,t(20)=-86.64,0.0
hf_recall,350,random vs none(no_ablation),15,15,0.8278959810874705,0.8335697399527189,-0.005673758865248346,-0.7406560798180558,t(27)=-2.03,0.05
hf_recall,350,targeted_combined(haofang+wanyue) vs none(no_ablation),30,15,0.3884160756501182,0.8335697399527189,-0.44515366430260067,-20.602618900647094,t(37)=-88.03,0.0
hf_recall,350,targeted_combined(haofang+wanyue) vs random,30,15,0.3884160756501182,0.8278959810874705,-0.4394799054373523,-20.208798433339105,t(39)=-84.87,0.0
hf_recall,350,wanyue vs haofang,15,15,0.39338061465721036,0.383451536643026,0.009929078014184356,0.38478247615611805,t(22)=1.05,0.3
hf_recall,350,wanyue vs none(no_ablation),15,15,0.39338061465721036,0.8335697399527189,-0.4401891252955085,-19.171586262600268,t(15)=-52.50,0.0
hf_recall,350,wanyue vs random,15,15,0.39338061465721036,0.8278959810874705,-0.4345153664302602,-18.75900894681453,t(16)=-51.37,0.0
wy_recall,200,haofang vs none(no_ablation),15,15,0.9345755693581776,0.9383022774327119,-0.003726708074534235,-0.7348469228349686,t(28)=-2.01,0.05
wy_recall,200,haofang vs random,15,15,0.9345755693581776,0.937060041407867,-0.002484472049689379,-0.47972594916406053,t(28)=-1.31,0.2
wy_recall,200,random vs none(no_ablation),15,15,0.937060041407867,0.9383022774327119,-0.001242236024844856,-0.24494897427834408,t(28)=-0.67,0.51
