row_type,group_name,ablation_mode,ablation_n,seed,haofang_precision,haofang_recall,haofang_f1,wanyue_precision,wanyue_recall,wanyue_f1,macro_f1,accuracy,TP,TN,FP,FN,unknown_cnt,n,seconds,haofang_precision_mean,haofang_precision_sd,haofang_precision_ci95_low,haofang_precision_ci95_high,haofang_precision_groups_n,haofang_recall_mean,haofang_recall_sd,haofang_recall_ci95_low,haofang_recall_ci95_high,haofang_recall_groups_n,haofang_f1_mean,haofang_f1_sd,haofang_f1_ci95_low,haofang_f1_ci95_high,haofang_f1_groups_n,wanyue_precision_mean,wanyue_precision_sd,wanyue_precision_ci95_low,wanyue_precision_ci95_high,wanyue_precision_groups_n,wanyue_recall_mean,wanyue_recall_sd,wanyue_recall_ci95_low,wanyue_recall_ci95_high,wanyue_recall_groups_n,wanyue_f1_mean,wanyue_f1_sd,wanyue_f1_ci95_low,wanyue_f1_ci95_high,wanyue_f1_groups_n,macro_f1_mean,macro_f1_sd,macro_f1_ci95_low,macro_f1_ci95_high,macro_f1_groups_n,accuracy_mean,accuracy_sd,accuracy_ci95_low,accuracy_ci95_high,accuracy_groups_n,comparison,metric,t_stat,p_value,pairs_n
detail,group2,random,250,20260472.0,0.8857142857142857,0.8985507246376812,0.8920863309352518,0.9135802469135802,0.9024390243902439,0.9079754601226994,0.9000308955289755,0.9006622516556292,124.0,148.0,16.0,14.0,0.0,302.0,34.26919198036194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
detail,group2,sequential_wanyue_csv,300,,0.8348623853211009,0.6594202898550725,0.736842105263158,0.8142857142857143,0.3475609756097561,0.4871794871794872,0.6120107962213226,0.7847682119205298,91.0,146.0,18.0,47.0,123.0,302.0,78.39255261421204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
detail,group2,random,300,20260522.0,0.8823529411764706,0.8695652173913043,0.8759124087591241,0.891566265060241,0.9024390243902439,0.896969696969697,0.8864410528644106,0.8874172185430463,120.0,148.0,16.0,18.0,0.0,302.0,34.38419961929321,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
detail,group2,sequential_wanyue_csv,350,,0.8613861386138614,0.6304347826086957,0.7280334728033472,0.782608695652174,0.32926829268292684,0.4635193133047211,0.5957763930540342,0.7847682119205298,87.0,150.0,14.0,51.0,132.0,302.0,78.95196008682251,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
detail,group2,random,350,20260572.0,0.8814814814814815,0.8623188405797102,0.8717948717948719,0.8862275449101796,0.9024390243902439,0.8942598187311178,0.8830273452629949,0.8841059602649006,119.0,148.0,16.0,19.0,0.0,302.0,34.475521087646484,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
detail,group3,sequential_wanyue_csv,0,,0.8879310344827587,0.824,0.8547717842323651,0.8817204301075269,0.9265536723163842,0.9035812672176308,0.8791765257249979,0.8841059602649006,103.0,164.0,13.0,22.0,0.0,302.0,20.750420808792114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
detail,group3,random,0,20260223.0,0.8879310344827587,0.824,0.8547717842323651,0.8817204301075269,0.9265536723163842,0.9035812672176308,0.8791765257249979,0.8841059602649006,103.0,164.0,13.0,22.0,0.0,302.0,21.077537775039673,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
detail,group3,sequential_wanyue_csv,200,,0.8686868686868687,0.688,0.7678571428571429,0.8315217391304348,0.864406779661017,0.8476454293628808,0.8077512861100118,0.8278145695364238,86.0,164.0,13.0,39.0,19.0,302.0,76.85110831260681,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
detail,group3,random,200,20260423.0,0.9230769230769231,0.768,0.8384279475982533,0.8535353535353535,0.9548022598870056,0.9013333333333334,0.8698806404657934,0.8774834437086093,96.0,169.0,8.0,29.0,0.0,302.0,34.69175696372986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
detail,group3,sequential_wanyue_csv,250,,0.8723404255319149,0.656,0.7488584474885844,0.8246753246753247,0.7175141242937854,0.7673716012084593,0.7581150243485218,0.8178807947019867,82.0,165.0,12.0,43.0,54.0,302.0,73.04719853401184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
